protocol,medium,cc,bandwidth,rtt
TCP,cellular,BBR,100mbps,0.48804283142089844
TCP,cellular,BBR,100mbps,47.37591743469238
TCP,cellular,BBR,10mbps,0.9701251983642578
TCP,cellular,BBR,10mbps,51.57804489135742
TCP,cellular,BBR,50mbps,1.0149478912353516
TCP,cellular,BBR,50mbps,40.60792922973633
TCP,cellular,CUBIC,100mbps,0.3459453582763672
TCP,cellular,CUBIC,100mbps,41.09787940979004
TCP,cellular,CUBIC,10mbps,0.48804283142089844
TCP,cellular,CUBIC,10mbps,43.908119201660156
TCP,cellular,CUBIC,50mbps,0.8120536804199219
TCP,cellular,CUBIC,50mbps,43.52998733520508
TCP,wired,BBR,100mbps,0.5271434783935547
TCP,wired,BBR,100mbps,0.025987625122070312
TCP,wired,BBR,10mbps,0.30493736267089844
TCP,wired,BBR,10mbps,0.03600120544433594
TCP,wired,BBR,50mbps,17.811059951782227
TCP,wired,BBR,50mbps,0.05602836608886719
TCP,wired,BBR,50mbps,0.2930164337158203
TCP,wired,BBR,50mbps,0.02193450927734375
TCP,wired,CUBIC,100mbps,0.3459453582763672
TCP,wired,CUBIC,100mbps,0.03886222839355469
TCP,wired,CUBIC,10mbps,24.221181869506836
TCP,wired,CUBIC,10mbps,0.04601478576660156
TCP,wired,CUBIC,10mbps,0.25391578674316406
TCP,wired,CUBIC,10mbps,0.026941299438476562
TCP,wired,CUBIC,50mbps,0.3139972686767578
TCP,wired,CUBIC,50mbps,0.02384185791015625
QUIC,cellular,BBR,100mbps,333.0
QUIC,cellular,BBR,100mbps,45.66604
QUIC,cellular,BBR,100mbps,66.96581
QUIC,cellular,BBR,100mbps,64.29379
QUIC,cellular,BBR,100mbps,61.28526
QUIC,cellular,BBR,100mbps,61.317814
QUIC,cellular,BBR,100mbps,59.933395
QUIC,cellular,BBR,100mbps,61.833374
QUIC,cellular,BBR,100mbps,63.735157
QUIC,cellular,BBR,100mbps,65.55402
QUIC,cellular,BBR,100mbps,67.17519
QUIC,cellular,BBR,100mbps,69.14217
QUIC,cellular,BBR,100mbps,65.817856
QUIC,cellular,BBR,100mbps,73.363335
QUIC,cellular,BBR,100mbps,75.72428
QUIC,cellular,BBR,100mbps,76.51015
QUIC,cellular,BBR,100mbps,82.814896
QUIC,cellular,BBR,100mbps,88.264114
QUIC,cellular,BBR,100mbps,95.36197
QUIC,cellular,BBR,100mbps,102.19808
QUIC,cellular,BBR,100mbps,108.177666
QUIC,cellular,BBR,100mbps,110.2985
QUIC,cellular,BBR,100mbps,108.865585
QUIC,cellular,BBR,100mbps,102.31591
QUIC,cellular,BBR,100mbps,94.48889
QUIC,cellular,BBR,100mbps,89.43724
QUIC,cellular,BBR,100mbps,92.95182
QUIC,cellular,BBR,100mbps,92.324066
QUIC,cellular,BBR,100mbps,95.06129
QUIC,cellular,BBR,100mbps,93.14335
QUIC,cellular,BBR,100mbps,95.61569
QUIC,cellular,BBR,100mbps,101.46514
QUIC,cellular,BBR,100mbps,102.62243
QUIC,cellular,BBR,100mbps,105.57607
QUIC,cellular,BBR,100mbps,101.22368
QUIC,cellular,BBR,100mbps,98.15572
QUIC,cellular,BBR,100mbps,99.22425
QUIC,cellular,BBR,100mbps,96.755394
QUIC,cellular,BBR,100mbps,90.62897
QUIC,cellular,BBR,100mbps,89.48144
QUIC,cellular,BBR,100mbps,84.41009
QUIC,cellular,BBR,100mbps,84.72711
QUIC,cellular,BBR,100mbps,83.4424
QUIC,cellular,BBR,100mbps,79.32305
QUIC,cellular,BBR,100mbps,81.29128
QUIC,cellular,BBR,100mbps,81.62694
QUIC,cellular,BBR,100mbps,81.34942
QUIC,cellular,BBR,100mbps,84.00543
QUIC,cellular,BBR,100mbps,83.41571
QUIC,cellular,BBR,100mbps,79.38536
QUIC,cellular,BBR,100mbps,81.28547
QUIC,cellular,BBR,100mbps,80.01839
QUIC,cellular,BBR,100mbps,75.50709
QUIC,cellular,BBR,100mbps,77.27751
QUIC,cellular,BBR,100mbps,76.0758
QUIC,cellular,BBR,100mbps,73.68375
QUIC,cellular,BBR,100mbps,75.408356
QUIC,cellular,BBR,100mbps,77.564224
QUIC,cellular,BBR,100mbps,75.92675
QUIC,cellular,BBR,100mbps,71.46699
QUIC,cellular,BBR,100mbps,68.210846
QUIC,cellular,BBR,100mbps,66.08783
QUIC,cellular,BBR,100mbps,70.17203
QUIC,cellular,BBR,100mbps,73.17847
QUIC,cellular,BBR,100mbps,70.89826
QUIC,cellular,BBR,100mbps,75.06311
QUIC,cellular,BBR,100mbps,78.34317
QUIC,cellular,BBR,100mbps,81.76709
QUIC,cellular,BBR,100mbps,81.67654
QUIC,cellular,BBR,100mbps,82.874725
QUIC,cellular,BBR,100mbps,83.9568
QUIC,cellular,BBR,100mbps,83.37176
QUIC,cellular,BBR,100mbps,77.811806
QUIC,cellular,BBR,100mbps,80.9368
QUIC,cellular,BBR,100mbps,76.66994
QUIC,cellular,BBR,100mbps,77.18153
QUIC,cellular,BBR,100mbps,79.80135
QUIC,cellular,BBR,100mbps,82.282425
QUIC,cellular,BBR,100mbps,83.041504
QUIC,cellular,BBR,100mbps,85.283676
QUIC,cellular,BBR,100mbps,80.311646
QUIC,cellular,BBR,100mbps,76.10538
QUIC,cellular,BBR,100mbps,78.26985
QUIC,cellular,BBR,100mbps,81.69206
QUIC,cellular,BBR,100mbps,83.553665
QUIC,cellular,BBR,100mbps,78.64933
